date,open,high,low,close,volume,trade_count,vwap
2023-05-19,420.17,420.72,417.35,418.62,103625186.0,640868.0,418.932449
2023-05-22,418.64,420.39,417.35,418.79,60745399.0,493532.0,419.068605
2023-05-23,417.08,418.722,413.68,414.09,86383493.0,624936.0,415.863124
2023-05-24,412.42,412.82,409.8795,411.09,89213678.0,673415.0,411.050076
2023-05-25,414.74,416.16,412.4101,414.65,90961606.0,672404.0,414.136975
2023-05-26,415.33,420.77,415.25,420.02,93687752.0,625214.0,419.208624
2023-05-30,422.03,422.58,418.735,420.18,72215960.0,609042.0,420.454392
2023-05-31,418.28,419.22,416.22,417.85,111771940.0,665151.0,417.726299
2023-06-01,418.09,422.92,416.79,421.82,88865018.0,653408.0,420.514542
2023-06-02,424.5,428.74,423.95,427.92,91426171.0,678309.0,427.125566
2023-06-05,428.28,429.67,426.37,427.1,70216018.0,551798.0,428.039599
2023-06-06,426.67,428.5772,425.99,428.03,64022176.0,491102.0,427.538687
2023-06-07,428.44,429.62,426.11,426.55,85372762.0,582563.0,427.313278
2023-06-08,426.62,429.6,425.82,429.13,61952842.0,473941.0,428.248763
2023-06-09,429.96,431.99,428.87,429.9,85647169.0,594919.0,430.357809
2023-06-12,430.92,433.88,430.17,433.8,76256703.0,523160.0,431.998351
2023-06-13,435.32,437.33,434.63,436.66,95898626.0,672828.0,436.271556
2023-06-14,437.01,439.0612,433.59,437.18,100608099.0,712238.0,436.588374
2023-06-15,436.33,443.9,436.23,442.6,110301303.0,748181.0,441.025612
2023-06-16,443.02,443.6078,438.97,439.46,114164649.0,631588.0,440.933417
2023-06-20,437.45,438.37,435.03,437.18,76160359.0,550939.0,437.022449
2023-06-21,436.16,436.99,434.33,434.94,76982252.0,551344.0,435.457956
2023-06-22,433.95,436.62,433.6,436.51,70637175.0,479203.0,435.377934
2023-06-23,432.93,435.06,432.47,433.21,92075438.0,553269.0,433.605841
2023-06-26,432.62,434.61,431.19,431.44,72823560.0,509726.0,432.554648
2023-06-27,432.35,436.81,431.88,436.17,72813700.0,497930.0,434.836564
2023-06-28,435.05,437.44,434.41,436.39,75635976.0,537350.0,435.639277
2023-06-29,435.96,438.28,435.54,438.11,67882305.0,474149.0,437.242912
2023-06-30,441.44,444.3,441.11,443.28,102201286.0,581165.0,443.155802
2023-07-03,442.92,444.08,442.63,443.79,32501144.0,251275.0,443.529847
2023-07-05,441.91,443.889,441.9,443.13,58418434.0,415751.0,443.259394
2023-07-06,439.42,440.1,437.06,439.66,80658303.0,567513.0,438.738257
2023-07-07,438.63,442.64,438.3,438.55,86134179.0,530029.0,440.230389
2023-07-10,438.18,439.84,437.585,439.66,62443502.0,419236.0,438.899656
2023-07-11,440.45,442.97,439.44,442.46,64463753.0,455994.0,441.220616
2023-07-12,446.39,447.4799,444.91,446.02,91924527.0,585101.0,446.181568
2023-07-13,447.9,450.38,447.45,449.56,72425242.0,449369.0,448.876482
2023-07-14,450.475,451.36,448.49,449.28,69815823.0,484539.0,449.914943
2023-07-17,449.13,451.93,449.08,450.84,52680223.0,385757.0,450.54018
2023-07-18,450.5,454.86,450.0484,454.19,80744449.0,519351.0,453.220529
2023-07-19,455.01,456.43,454.1119,455.2,65891689.0,502907.0,455.518782
2023-07-20,454.17,455.1,451.44,452.18,70591643.0,532941.0,453.290805
2023-07-21,453.96,454.165,452.17,452.18,71275619.0,475417.0,453.038753
2023-07-24,453.37,455.04,452.298,454.2,54023384.0,400896.0,454.005663
2023-07-25,453.92,456.735,453.87,455.44,55191240.0,383335.0,455.463449
